lead_id,company_name,zip_code,lead_source,lead_status,industry,company_size,deal_value,sales_rep,created_date,close_date
LEAD-000001,"Rodriguez, Figueroa and Sanchez",18790,Website,Qualified,Professional Services,51-200,63306,Bob Martinez,2024-10-13,
LEAD-000002,Rhodes PLC,11896,Website,Qualified,Retail,51-200,57343,Alice Chen,2024-08-17,
LEAD-000003,Johnson-Davis,30996,Website,Won,Finance,201-500,241110,Carol Williams,2024-07-15,2024-10-03
LEAD-000004,"Johnson, Gonzalez and Santos",71927,Referral,Opportunity,Retail,201-500,197068,Alice Chen,2024-06-11,
LEAD-000005,Cole LLC,01352,Referral,New,Other,11-50,17607,Alice Chen,2024-10-21,
LEAD-000006,Wolfe LLC,36922,Content,Opportunity,Other,201-500,100510,Alice Chen,2024-03-01,
LEAD-000007,Bernard LLC,13897,Website,New,Manufacturing,11-50,6995,David Johnson,2024-02-06,
LEAD-000008,Davis-Abbott,79632,Cold Outbound,Opportunity,Healthcare,1-10,2645,Bob Martinez,2024-04-12,
LEAD-000009,Blair PLC,16862,Website,Won,Healthcare,1-10,8610,Carol Williams,2024-12-24,
LEAD-000010,Miller-Carter,82898,Website,Qualified,Professional Services,201-500,133380,Alice Chen,2024-08-28,
LEAD-000011,Ray-Bush,06507,Referral,New,Professional Services,11-50,15144,Alice Chen,2024-09-13,
LEAD-000012,Mejia Inc,31013,Referral,New,Other,11-50,11146,Bob Martinez,2024-12-02,
LEAD-000013,James Group,83821,Referral,Opportunity,Technology,51-200,62217,Carol Williams,2024-11-19,
LEAD-000014,Martin-Kelly,88342,Website,New,Manufacturing,11-50,25349,Bob Martinez,2024-04-13,
LEAD-000015,"Zuniga, Wong and Lynch",22932,Website,Opportunity,Healthcare,201-500,257928,Bob Martinez,2024-07-26,
LEAD-000016,"Sanchez, Ford and Nelson",84387,Website,Qualified,Other,1-10,1611,Eva Rodriguez,2024-09-24,
LEAD-000017,"Robinson, Nguyen and Tate",07832,Website,Lost,Healthcare,51-200,65819,Bob Martinez,2024-03-29,2024-08-08
LEAD-000018,Trujillo Group,35594,Website,New,Other,11-50,14823,Eva Rodriguez,2024-01-26,
LEAD-000019,Gentry PLC,94599,Event,Won,Healthcare,51-200,42722,Carol Williams,2024-05-02,2024-08-04
LEAD-000020,Rios Group,84760,Event,Lost,Healthcare,1-10,5148,Eva Rodriguez,2024-06-27,2024-09-11
LEAD-000021,Baker and Sons,98148,Cold Outbound,Won,Finance,11-50,15230,Alice Chen,2024-08-06,2024-12-24
LEAD-000022,"Baker, Richards and Hurst",52851,Referral,Lost,Technology,51-200,62713,Alice Chen,2024-05-20,2024-11-11
LEAD-000023,Osborn and Sons,67285,Referral,Opportunity,Finance,201-500,97193,Carol Williams,2024-07-10,
LEAD-000024,Campos Inc,20534,Referral,New,Healthcare,51-200,68210,Alice Chen,2024-08-31,
LEAD-000025,Conner Group,78673,Referral,Opportunity,Professional Services,11-50,15453,Eva Rodriguez,2024-01-25,
LEAD-000026,James-Ferrell,69853,Event,Qualified,Manufacturing,51-200,93028,Carol Williams,2024-04-07,
LEAD-000027,"Valencia, Smith and Le",89854,Website,Opportunity,Professional Services,11-50,12310,Eva Rodriguez,2024-12-09,
LEAD-000028,"Potter, Mack and Peterson",38970,Event,Lost,Technology,1-10,4176,Carol Williams,2024-06-17,2024-10-04
LEAD-000029,Chavez Ltd,94830,Event,Won,Professional Services,11-50,16100,Alice Chen,2024-04-12,2024-09-13
LEAD-000030,"Gill, Romero and Rodriguez",82460,Content,Qualified,Manufacturing,51-200,37798,Alice Chen,2024-04-25,
LEAD-000031,"Romero, Gonzalez and Brooks",21675,Referral,Opportunity,Finance,500+,457599,David Johnson,2024-07-28,
LEAD-000032,"Sellers, George and Burns",15163,Referral,Opportunity,Retail,51-200,30235,Bob Martinez,2024-12-26,
LEAD-000033,Koch-Decker,40807,Referral,New,Healthcare,201-500,149047,Bob Martinez,2024-04-02,
LEAD-000034,Allen PLC,10823,Website,Qualified,Professional Services,1-10,4832,Eva Rodriguez,2024-02-03,
LEAD-000035,"Tucker, Jones and Hodges",16984,Referral,Qualified,Finance,201-500,187071,Eva Rodriguez,2024-02-19,
LEAD-000036,"Alvarez, Pierce and Baker",80008,Website,New,Retail,201-500,105782,Alice Chen,2024-06-13,
LEAD-000037,Hickman Ltd,90923,Referral,New,Professional Services,1-10,4173,Carol Williams,2024-03-19,
LEAD-000038,"Collins, Carney and Santos",57923,Content,New,Manufacturing,500+,247217,Bob Martinez,2024-12-15,
LEAD-000039,"Hayes, Wright and Brown",03258,Referral,New,Finance,1-10,1599,Alice Chen,2024-08-16,
LEAD-000040,"Hall, Robinson and Jones",83220,Referral,Opportunity,Finance,11-50,15754,Eva Rodriguez,2024-01-23,
LEAD-000041,Jones Inc,43810,Referral,New,Retail,1-10,5769,Carol Williams,2024-01-28,
LEAD-000042,"Young, Caldwell and Lewis",17843,Website,New,Technology,1-10,4998,Eva Rodriguez,2024-10-07,
LEAD-000043,"Johnston, Sanchez and Kennedy",53855,Referral,Opportunity,Finance,51-200,39945,Eva Rodriguez,2024-03-14,
LEAD-000044,Davis Group,46939,Event,Qualified,Other,11-50,15546,Eva Rodriguez,2024-06-13,
LEAD-000045,Owens-Daniel,88760,Website,Opportunity,Healthcare,51-200,81708,Bob Martinez,2024-09-10,
LEAD-000046,"Garcia, Powell and Morgan",14823,Website,Won,Finance,11-50,19514,Bob Martinez,2024-04-06,2024-08-05
LEAD-000047,Lee Group,18874,Website,New,Professional Services,11-50,12486,Alice Chen,2024-06-12,
LEAD-000048,Ramirez and Sons,10381,Partner,New,Technology,1-10,5467,Bob Martinez,2024-06-21,
LEAD-000049,"Garcia, Pearson and Fernandez",02435,Cold Outbound,New,Other,1-10,4102,David Johnson,2024-02-06,
LEAD-000050,Martin Group,63593,Referral,Opportunity,Professional Services,11-50,19155,Bob Martinez,2024-03-24,
LEAD-000051,Barrera-Martin,00783,Cold Outbound,New,Other,11-50,15826,Alice Chen,2024-05-31,
LEAD-000052,House-Glover,37889,Website,New,Other,51-200,62175,Carol Williams,2024-06-13,
