lead_id,company_name,zip_code,lead_source,lead_status,industry,company_size,deal_value,sales_rep,created_date,close_date
LEAD-000001,"Rodriguez, Figueroa and Sanchez",66223,Referral,Lost,Finance,500+,450248,Carol Williams,2024-02-24,2024-05-10
LEAD-000002,"Garcia, Yang and Gardner",02833,Partner,Won,Technology,500+,803097,Carol Williams,2024-08-17,2024-09-21
LEAD-000003,Johnson-Davis,15542,Referral,Qualified,Finance,11-50,8880,Carol Williams,2024-03-31,
LEAD-000004,"Guzman, Hoffman and Baldwin",90032,Referral,Won,Manufacturing,201-500,174992,Bob Martinez,2024-09-29,2024-11-09
LEAD-000005,"Barnes, Cole and Ramirez",78111,Website,Qualified,Finance,11-50,15749,David Johnson,2024-12-03,
LEAD-000006,Blake and Sons,20120,Website,Won,Other,51-200,46972,Bob Martinez,2024-09-28,2024-11-09
LEAD-000007,Peterson-Moore,35055,Event,Won,Finance,51-200,46052,Eva Rodriguez,2024-10-23,2024-12-24
LEAD-000008,Garcia-James,25213,Website,Opportunity,Manufacturing,1-10,1213,Alice Chen,2024-05-19,
LEAD-000009,Munoz-Roman,39156,Partner,Qualified,Finance,51-200,44975,Alice Chen,2024-10-10,
LEAD-000010,Herrera-Dudley,62445,Referral,Qualified,Finance,201-500,99477,Bob Martinez,2024-05-27,
LEAD-000011,Arnold Ltd,10532,Website,Opportunity,Other,500+,722879,David Johnson,2024-08-28,
LEAD-000012,Ray-Bush,43528,Cold Outbound,New,Retail,500+,770164,David Johnson,2024-01-18,
LEAD-000013,"Perez, Roberts and Miller",70117,Referral,New,Professional Services,11-50,22142,Bob Martinez,2024-03-31,
LEAD-000014,James Group,64474,Event,Qualified,Retail,11-50,15652,Eva Rodriguez,2024-09-03,
LEAD-000015,Martin-Kelly,78252,Event,Won,Other,51-200,47186,David Johnson,2024-09-17,
LEAD-000016,Miles-Sutton,61525,Cold Outbound,Qualified,Manufacturing,51-200,44366,Bob Martinez,2024-01-28,
LEAD-000017,"Reid, Ferguson and Sanchez",13608,Cold Outbound,Opportunity,Other,201-500,154405,David Johnson,2024-06-28,
LEAD-000018,Nelson-Schaefer,23298,Website,Qualified,Technology,1-10,3243,David Johnson,2024-09-24,
LEAD-000019,"Robinson, Nguyen and Tate",64501,Website,Opportunity,Manufacturing,1-10,5224,Carol Williams,2024-01-22,
LEAD-000020,Underwood LLC,62263,Referral,Won,Technology,201-500,198743,David Johnson,2024-06-04,2024-10-30
LEAD-000021,Jones-Gentry,71764,Partner,Opportunity,Other,201-500,157730,Eva Rodriguez,2024-08-08,
